ID,MAE,RMSE,AEC 95.0 [%],AEC 90.0 [%],AEC 85.0 [%],AEC 80.0 [%],AEC 75.0 [%]
Temperature_sensor,,,,,,,
1,0.66,0.84,-21.0,-24.0,-26.0,-25.0,-25.0
3,0.57,0.7,-5.0,-8.0,-11.0,-11.0,-12.0
4,0.15,0.19,4.0,8.0,12.0,14.0,17.0
5,0.44,0.63,2.0,4.0,8.0,11.0,15.0
6,0.29,0.36,-10.0,-16.0,-16.0,-16.0,-15.0
7,0.29,0.4,-7.0,-6.0,-5.0,-4.0,-3.0
8,0.44,0.5,0.0,1.0,-1.0,-4.0,-9.0
9,0.42,0.49,-1.0,-2.0,-1.0,-2.0,-4.0
10,0.3,0.37,4.0,7.0,10.0,12.0,15.0
11,0.35,0.44,-1.0,-3.0,-4.0,-5.0,-4.0
12,0.45,0.6,-5.0,-3.0,-3.0,-3.0,-3.0
CO2_sensor,,,,,,,
1,10.81,20.34,-2.0,1.0,5.0,8.0,12.0
3,22.57,54.8,4.0,9.0,13.0,18.0,23.0
4,18.38,27.79,-3.0,-8.0,-11.0,-13.0,-14.0
5,26.45,66.5,2.0,6.0,11.0,14.0,19.0
6,20.67,23.52,-50.0,-54.0,-53.0,-51.0,-50.0
7,38.0,67.5,-6.0,-4.0,-2.0,1.0,5.0
8,22.66,42.32,-10.0,-7.0,-4.0,0.0,4.0
9,10.02,27.77,5.0,10.0,15.0,20.0,25.0
10,33.12,72.36,1.0,5.0,8.0,11.0,15.0
11,19.58,41.37,4.0,8.0,12.0,15.0,18.0
12,132.56,178.23,-23.0,-25.0,-27.0,-27.0,-25.0
Valve_Position_sensor,,,,,,,
1,0.03,0.07,-50.0,-45.0,-40.0,-35.0,-30.0
3,0.12,0.25,-15.0,-11.0,-7.0,-3.0,1.0
4,0.0,0.03,5.0,10.0,15.0,20.0,25.0
5,0.12,0.26,-16.0,-11.0,-7.0,-2.0,2.0
6,0.13,0.21,-10.0,-12.0,-11.0,-9.0,-6.0
7,0.01,0.04,0.0,5.0,10.0,15.0,19.0
8,0.11,0.15,-1.0,1.0,4.0,7.0,8.0
9,0.03,0.1,3.0,8.0,12.0,17.0,22.0
10,0.0,0.0,-40.0,-35.0,-30.0,-25.0,-20.0
11,0.04,0.11,-1.0,3.0,8.0,12.0,17.0
12,0.08,0.18,1.0,5.0,9.0,13.0,17.0
Damper_Position_sensor,,,,,,,
1,0.0,0.01,5.0,10.0,15.0,20.0,25.0
2,0.0,0.02,5.0,10.0,15.0,20.0,25.0
3,0.01,0.05,3.0,8.0,13.0,18.0,23.0
4,0.0,0.01,5.0,10.0,15.0,20.0,25.0
5,0.02,0.07,0.0,5.0,10.0,15.0,20.0
6,0.0,0.02,5.0,10.0,15.0,20.0,25.0
7,0.09,0.16,0.0,-10.0,-10.0,-6.0,-1.0
8,0.1,0.17,-28.0,-23.0,-18.0,-13.0,-8.0
9,0.08,0.15,-21.0,-16.0,-11.0,-6.0,-1.0
10,0.08,0.15,-6.0,-10.0,-6.0,-2.0,2.0
11,0.01,0.04,4.0,8.0,13.0,18.0,23.0
12,0.07,0.16,-15.0,-10.0,-5.0,0.0,5.0
