Aflaesningsdato,Energi [kWh],Flow [m3],Afkoeling,Timer [t],Effekt [kWh],Max flow [m3/t],Returloeb,Temp. forskel [K],Temperatur,Kommentar,Status,Info,Modtaget,Aendret
12/30/2021 11:59:00 PM,6944,368.11,,57329,0,0,24.43,10.04,34.47,,Godkendt,,44561.07227,
12/30/2021 11:58:00 PM,6944,368.11,,57329,0,0,24.43,10.04,34.47,,Godkendt,,44561.07227,
12/30/2021 11:57:00 PM,6944,368.11,,57329,0,0,24.43,10.04,34.47,,Godkendt,,44561.07227,
12/30/2021 11:56:00 PM,6944,368.11,,57329,0,0,24.45,10.01,34.46,,Godkendt,,44561.07227,
12/30/2021 11:55:00 PM,6944,368.11,,57329,0,0,24.46,9.99,34.45,,Godkendt,,44561.07227,
12/30/2021 11:54:00 PM,6944,368.11,,57329,0,0,24.49,9.92,34.41,,Godkendt,,44561.07227,
12/30/2021 11:53:00 PM,6944,368.11,,57329,0,0,24.54,9.85,34.39,,Godkendt,,44561.07227,
12/30/2021 11:52:00 PM,6944,368.11,,57329,0,0,24.56,9.8,34.36,,Godkendt,,44561.07227,
12/30/2021 11:51:00 PM,6944,368.11,,57329,0,0,24.6,9.76,34.36,,Godkendt,,44561.07227,
12/30/2021 11:50:00 PM,6944,368.11,,57328,0,0,24.57,9.78,34.35,,Godkendt,,44561.07227,
12/30/2021 11:49:00 PM,6944,368.11,,57328,0,0,24.56,9.79,34.35,,Godkendt,,44561.07227,
12/30/2021 11:48:00 PM,6944,368.11,,57328,0,0,24.59,9.75,34.34,,Godkendt,,44561.07227,
12/30/2021 11:47:00 PM,6944,368.11,,57328,0,0,24.61,9.77,34.38,,Godkendt,,44561.07227,
12/30/2021 11:46:00 PM,6944,368.11,,57328,0,0,24.64,9.78,34.42,,Godkendt,,44561.07227,
12/30/2021 11:45:00 PM,6944,368.11,,57328,0,0,24.65,9.79,34.44,,Godkendt,,44561.07227,
12/30/2021 11:44:00 PM,6944,368.11,,57328,0,0,24.66,9.82,34.48,,Godkendt,,44561.07227,
12/30/2021 11:43:00 PM,6944,368.11,,57328,0,0,24.67,9.83,34.5,,Godkendt,,44561.07227,
12/30/2021 11:42:00 PM,6944,368.11,,57328,0,0,24.69,9.81,34.5,,Godkendt,,44561.07227,
12/30/2021 11:41:00 PM,6944,368.11,,57328,0,0,24.71,9.76,34.47,,Godkendt,,44561.07227,
12/30/2021 11:40:00 PM,6944,368.11,,57328,0,0,24.71,9.75,34.46,,Godkendt,,44561.07227,
12/30/2021 11:39:00 PM,6944,368.11,,57328,0,0,24.73,9.68,34.41,,Godkendt,,44561.07227,
12/30/2021 11:38:00 PM,6944,368.11,,57328,0,0,24.74,9.62,34.36,,Godkendt,,44561.07227,
12/30/2021 11:37:00 PM,6944,368.11,,57328,0,0,24.76,9.56,34.32,,Godkendt,,44561.07227,
