ID,MAE,RMSE,PI95,PI90,PI85,PI80,PI75,PI70,PI65,PI60,PI55,PI50
Temperature_sensor,,,,,,,,,,,,
007A_temperature_sensor,0.6600273291573371,0.8386780516506175,0.7385912698412699,0.658234126984127,0.5947420634920635,0.5456349206349206,0.503968253968254,0.4583333333333333,0.4126984126984127,0.37351190476190477,0.32936507936507936,0.2926587301587302
011A_temperature_sensor,0.5705138715438847,0.7048147351863376,0.9002976190476191,0.8199404761904762,0.7445436507936508,0.689484126984127,0.6259920634920635,0.5744047619047619,0.527281746031746,0.47271825396825395,0.43898809523809523,0.3943452380952381
012A_temperature_sensor,0.14834271304349708,0.18849460291183404,0.9890873015873016,0.9791666666666666,0.9657738095238095,0.9424603174603174,0.9156746031746031,0.8854166666666666,0.8521825396825397,0.816468253968254,0.7678571428571429,0.720734126984127
013A_temperature_sensor,0.4364552911010597,0.6282121580429507,0.9702380952380952,0.9449404761904762,0.9290674603174603,0.9092261904761905,0.8983134920634921,0.8839285714285714,0.8665674603174603,0.8387896825396826,0.8030753968253969,0.7678571428571429
015A_temperature_sensor,0.28678900363334486,0.35557545588359984,0.8462301587301587,0.7385912698412699,0.6870039682539683,0.6448412698412699,0.597718253968254,0.5570436507936508,0.5084325396825397,0.4781746031746032,0.4419642857142857,0.39880952380952384
020A_temperature_sensor,0.2862557940191539,0.40265301414830473,0.8839285714285714,0.841765873015873,0.8025793650793651,0.7579365079365079,0.7172619047619048,0.6899801587301587,0.6587301587301587,0.6185515873015873,0.5744047619047619,0.5317460317460317
020B_temperature_sensor,0.44210143470570135,0.49931537941111565,0.9528769841269841,0.9077380952380952,0.8387896825396826,0.7579365079365079,0.6636904761904762,0.5704365079365079,0.48759920634920634,0.41369047619047616,0.34226190476190477,0.2857142857142857
029A_temperature_sensor,0.42074393605809385,0.48770426802529787,0.9439484126984127,0.8834325396825397,0.8373015873015873,0.7807539682539683,0.7063492063492064,0.626984126984127,0.5540674603174603,0.4851190476190476,0.4087301587301587,0.33581349206349204
031A_temperature_sensor,0.29621893103215846,0.3676584743072611,0.9866071428571429,0.972718253968254,0.9513888888888888,0.9231150793650794,0.8958333333333334,0.8675595238095238,0.8278769841269841,0.7728174603174603,0.7053571428571429,0.6364087301587301
033A_temperature_sensor,0.35384575651463906,0.4355564307006466,0.9365079365079365,0.8725198412698413,0.8050595238095238,0.751984126984127,0.7058531746031746,0.6592261904761905,0.6091269841269841,0.5555555555555556,0.4871031746031746,0.4191468253968254
035A_temperature_sensor,0.45153898487152355,0.6015779470349547,0.8988095238095238,0.8685515873015873,0.8209325396825397,0.7658730158730159,0.7217261904761905,0.6691468253968254,0.6190476190476191,0.5729166666666666,0.5198412698412699,0.4756944444444444
CO2_sensor,,,,,,,,,,,,
007A_co2_sensor,10.807930551620215,20.337035846090394,0.9275793650793651,0.9126984126984127,0.8958333333333334,0.8809523809523809,0.8650793650793651,0.8472222222222222,0.8288690476190477,0.8060515873015873,0.783234126984127,0.7524801587301587
011A_co2_sensor,22.57495944880645,54.80318633038954,0.9900793650793651,0.9871031746031746,0.9831349206349206,0.9821428571428571,0.9771825396825397,0.970734126984127,0.9548611111111112,0.935515873015873,0.9032738095238095,0.8571428571428571
012A_co2_sensor,18.3778491533385,27.790764250322763,0.9241071428571429,0.8229166666666666,0.7440476190476191,0.6701388888888888,0.6125992063492064,0.5486111111111112,0.4990079365079365,0.4503968253968254,0.4052579365079365,0.35168650793650796
013A_co2_sensor,26.452676732647564,66.49912070835784,0.9702380952380952,0.9627976190476191,0.9558531746031746,0.9444444444444444,0.9379960317460317,0.9211309523809523,0.8898809523809523,0.8625992063492064,0.8209325396825397,0.7703373015873016
015A_co2_sensor,20.666220250068555,23.517217685037227,0.44841269841269843,0.3551587301587302,0.32142857142857145,0.2857142857142857,0.25,0.21726190476190477,0.18551587301587302,0.15823412698412698,0.13442460317460317,0.11557539682539683
020A_co2_sensor,38.00196534134145,67.50122367283215,0.8869047619047619,0.8561507936507936,0.8303571428571429,0.8110119047619048,0.7991071428571429,0.783234126984127,0.7728174603174603,0.7559523809523809,0.7420634920634921,0.7271825396825397
020B_co2_sensor,22.660235837917817,42.32492383543614,0.8506944444444444,0.8268849206349206,0.8120039682539683,0.8045634920634921,0.7921626984126984,0.7797619047619048,0.7663690476190477,0.7559523809523809,0.7395833333333334,0.7078373015873016
